Daily Details for US Cases, Mortaility and Rates
Day: 73 (4/3/20) Cases/today/Infection Rate: 287,931/32,401/12.68% - Mortality/Today/Rate: 9,562/1,420/3.32% 
Day: 74 (4/4/20) Cases/today/Infection Rate: 319,776/31,845/11.06% - Mortality/Today/Rate: 11,165/1,603/3.49% 
Day: 75 (4/5/20) Cases/today/Infection Rate: 349,016/29,240/9.14% - Mortality/Today/Rate: 12,781/1,616/3.66% 
Day: 76 (4/6/20) Cases/today/Infection Rate: 380,798/31,782/9.11% - Mortality/Today/Rate: 14,523/1,742/3.81% 
Day: 77 (4/7/20) Cases/today/Infection Rate: 410,834/30,036/7.89% - Mortality/Today/Rate: 17,099/2,576/4.16% 
Day: 78 (4/8/20) Cases/today/Infection Rate: 441,897/31,063/7.56% - Mortality/Today/Rate: 19,249/2,150/4.36% 
Day: 79 (4/9/20) Cases/today/Infection Rate: 477,507/35,610/8.06% - Mortality/Today/Rate: 21,463/2,214/4.49% 
Day: 80 (4/10/20) Cases/today/Infection Rate: 511,790/34,283/7.18% - Mortality/Today/Rate: 23,650/2,187/4.62% 
Day: 81 (4/11/20) Cases/today/Infection Rate: 540,714/28,924/5.65% - Mortality/Today/Rate: 25,786/2,136/4.77% 
Day: 82 (4/12/20) Cases/today/Infection Rate: 567,022/26,308/4.87% - Mortality/Today/Rate: 27,675/1,889/4.88% 
Day: 83 (4/13/20) Cases/today/Infection Rate: 594,165/27,143/4.79% - Mortality/Today/Rate: 29,660/1,985/4.99% 
Day: 84 (4/14/20) Cases/today/Infection Rate: 622,493/28,328/4.77% - Mortality/Today/Rate: 32,133/2,473/5.16% 
Day: 85 (4/15/20) Cases/today/Infection Rate: 648,390/25,897/4.16% - Mortality/Today/Rate: 34,731/2,598/5.36% 
Day: 86 (4/16/20) Cases/today/Infection Rate: 678,028/29,638/4.57% - Mortality/Today/Rate: 36,914/2,183/5.44% 
Day: 87 (4/17/20) Cases/today/Infection Rate: 711,135/33,107/4.88% - Mortality/Today/Rate: 39,009/2,095/5.49% 
Day: 88 (4/18/20) Cases/today/Infection Rate: 738,464/27,329/3.84% - Mortality/Today/Rate: 40,955/1,946/5.55% 
Day: 89 (4/19/20) Cases/today/Infection Rate: 763,886/25,422/3.44% - Mortality/Today/Rate: 42,935/1,980/5.62% 
Day: 90 (4/20/20) Cases/today/Infection Rate: 793,970/30,084/3.94% - Mortality/Today/Rate: 45,180/2,245/5.69% 
Day: 91 (4/21/20) Cases/today/Infection Rate: 820,045/26,075/3.28% - Mortality/Today/Rate: 47,662/2,482/5.81% 
Day: 92 (4/22/20) Cases/today/Infection Rate: 849,926/29,881/3.64% - Mortality/Today/Rate: 50,129/2,467/5.90% 
Day: 93 (4/23/20) Cases/today/Infection Rate: 881,891/31,965/3.76% - Mortality/Today/Rate: 52,543/2,414/5.96% 
Day: 94 (4/24/20) Cases/today/Infection Rate: 913,856/31,965/3.62% - Mortality/Today/Rate: 54,712/2,169/5.99% 
Day: 95 (4/25/20) Cases/today/Infection Rate: 944,770/30,914/3.38% - Mortality/Today/Rate: 56,446/1,734/5.97% 
Day: 96 (4/26/20) Cases/today/Infection Rate: 970,741/25,971/2.75% - Mortality/Today/Rate: 57,852/1,406/5.96% 
Day: 97 (4/27/20) Cases/today/Infection Rate: 995,391/24,650/2.54% - Mortality/Today/Rate: 59,332/1,480/5.96% 
Day: 98 (4/28/20) Cases/today/Infection Rate: 1,019,964/24,573/2.47% - Mortality/Today/Rate: 61,576/2,244/6.04% 
Day: 99 (4/29/20) Cases/today/Infection Rate: 1,046,816/26,852/2.63% - Mortality/Today/Rate: 63,968/2,392/6.11% 
Day: 100 (4/30/20) Cases/today/Infection Rate: 1,076,518/29,702/2.84% - Mortality/Today/Rate: 66,159/2,191/6.15% 
Day: 101 (5/1/20) Cases/today/Infection Rate: 1,111,410/34,892/3.24% - Mortality/Today/Rate: 68,067/1,908/6.12% 
Day: 102 (5/2/20) Cases/today/Infection Rate: 1,138,174/26,764/2.41% - Mortality/Today/Rate: 69,810/1,743/6.13% 
Day: 103 (5/3/20) Cases/today/Infection Rate: 1,161,907/23,733/2.09% - Mortality/Today/Rate: 71,013/1,203/6.11% 
Day: 104 (5/4/20) Cases/today/Infection Rate: 1,185,709/23,802/2.05% - Mortality/Today/Rate: 72,371/1,358/6.10% 
Day: 105 (5/5/20) Cases/today/Infection Rate: 1,209,729/24,020/2.03% - Mortality/Today/Rate: 74,592/2,221/6.17% 
Day: 106 (5/6/20) Cases/today/Infection Rate: 1,234,211/24,482/2.02% - Mortality/Today/Rate: 76,914/2,322/6.23% 
Day: 107 (5/7/20) Cases/today/Infection Rate: 1,261,950/27,739/2.25% - Mortality/Today/Rate: 78,829/1,915/6.25% 
Day: 108 (5/8/20) Cases/today/Infection Rate: 1,289,133/27,183/2.15% - Mortality/Today/Rate: 80,600/1,771/6.25% 
Day: 109 (5/9/20) Cases/today/Infection Rate: 1,313,587/24,454/1.90% - Mortality/Today/Rate: 82,066/1,466/6.25% 
Day: 110 (5/10/20) Cases/today/Infection Rate: 1,332,334/18,747/1.43% - Mortality/Today/Rate: 83,066/1,000/6.23% 
Day: 111 (5/11/20) Cases/today/Infection Rate: 1,351,411/19,077/1.43% - Mortality/Today/Rate: 84,101/1,035/6.22% 
Day: 112 (5/12/20) Cases/today/Infection Rate: 1,374,792/23,381/1.73% - Mortality/Today/Rate: 85,690/1,589/6.23% 
Day: 113 (5/13/20) Cases/today/Infection Rate: 1,394,807/20,015/1.46% - Mortality/Today/Rate: 87,425/1,735/6.27% 
Day: 114 (5/14/20) Cases/today/Infection Rate: 1,420,697/25,890/1.86% - Mortality/Today/Rate: 89,198/1,773/6.28% 
Day: 115 (5/15/20) Cases/today/Infection Rate: 1,445,548/24,851/1.75% - Mortality/Today/Rate: 90,863/1,665/6.29% 
Day: 116 (5/16/20) Cases/today/Infection Rate: 1,469,598/24,050/1.66% - Mortality/Today/Rate: 92,060/1,197/6.26% 
Day: 117 (5/17/20) Cases/today/Infection Rate: 1,488,327/18,729/1.27% - Mortality/Today/Rate: 92,890/830/6.24% 
Day: 118 (5/18/20) Cases/today/Infection Rate: 1,510,635/22,308/1.50% - Mortality/Today/Rate: 94,110/1,220/6.23% 
Day: 119 (5/19/20) Cases/today/Infection Rate: 1,531,138/20,503/1.36% - Mortality/Today/Rate: 95,555/1,445/6.24% 
Day: 120 (5/20/20) Cases/today/Infection Rate: 1,553,966/22,828/1.49% - Mortality/Today/Rate: 97,058/1,503/6.25% 
Day: 121 (5/21/20) Cases/today/Infection Rate: 1,579,118/25,152/1.62% - Mortality/Today/Rate: 98,246/1,188/6.22% 
Day: 122 (5/22/20) Cases/today/Infection Rate: 1,602,947/23,829/1.51% - Mortality/Today/Rate: 99,450/1,204/6.20% 
Day: 123 (5/23/20) Cases/today/Infection Rate: 1,623,136/20,189/1.26% - Mortality/Today/Rate: 100,524/1,074/6.19% 
Day: 124 (5/24/20) Cases/today/Infection Rate: 1,643,310/20,174/1.24% - Mortality/Today/Rate: 101,165/641/6.16% 
Day: 125 (5/25/20) Cases/today/Infection Rate: 1,662,404/19,094/1.16% - Mortality/Today/Rate: 101,762/597/6.12% 
Day: 126 (5/26/20) Cases/today/Infection Rate: 1,681,130/18,726/1.13% - Mortality/Today/Rate: 102,419/657/6.09% 
Day: 127 (5/27/20) Cases/today/Infection Rate: 1,699,893/18,763/1.12% - Mortality/Today/Rate: 103,898/1,479/6.11% 
Day: 128 (5/28/20) Cases/today/Infection Rate: 1,721,160/21,267/1.25% - Mortality/Today/Rate: 104,987/1,089/6.10% 
Day: 129 (5/29/20) Cases/today/Infection Rate: 1,746,242/25,082/1.46% - Mortality/Today/Rate: 106,104/1,117/6.08% 
Day: 130 (5/30/20) Cases/today/Infection Rate: 1,769,322/23,080/1.32% - Mortality/Today/Rate: 107,056/952/6.05% 
Day: 131 (5/31/20) Cases/today/Infection Rate: 1,788,241/18,919/1.07% - Mortality/Today/Rate: 107,677/621/6.02% 
Day: 132 (6/1/20) Cases/today/Infection Rate: 1,806,081/17,840/1.00% - Mortality/Today/Rate: 108,451/774/6.00% 
Day: 133 (6/2/20) Cases/today/Infection Rate: 1,826,171/20,090/1.11% - Mortality/Today/Rate: 109,432/981/5.99% 
Day: 134 (6/3/20) Cases/today/Infection Rate: 1,845,327/19,156/1.05% - Mortality/Today/Rate: 110,443/1,011/5.99% 
Day: 135 (6/4/20) Cases/today/Infection Rate: 1,873,261/27,934/1.51% - Mortality/Today/Rate: 111,448/1,005/5.95% 
Day: 136 (6/5/20) Cases/today/Infection Rate: 1,899,701/26,440/1.41% - Mortality/Today/Rate: 112,328/880/5.91% 
Day: 137 (6/6/20) Cases/today/Infection Rate: 1,919,970/20,269/1.07% - Mortality/Today/Rate: 112,966/638/5.88% 
Day: 138 (6/7/20) Cases/today/Infection Rate: 1,937,796/17,826/0.93% - Mortality/Today/Rate: 113,422/456/5.85% 
Day: 139 (6/8/20) Cases/today/Infection Rate: 1,954,696/16,900/0.87% - Mortality/Today/Rate: 113,934/512/5.83% 
Day: 140 (6/9/20) Cases/today/Infection Rate: 1,975,017/20,321/1.04% - Mortality/Today/Rate: 114,852/918/5.82% 
Day: 141 (6/10/20) Cases/today/Infection Rate: 1,996,735/21,718/1.10% - Mortality/Today/Rate: 115,724/872/5.80% 
Day: 142 (6/11/20) Cases/today/Infection Rate: 2,019,013/22,278/1.12% - Mortality/Today/Rate: 116,541/817/5.77% 
Day: 143 (6/12/20) Cases/today/Infection Rate: 2,044,571/25,558/1.27% - Mortality/Today/Rate: 117,363/822/5.74% 
Day: 144 (6/13/20) Cases/today/Infection Rate: 2,068,728/24,157/1.18% - Mortality/Today/Rate: 118,083/720/5.71% 
Day: 145 (6/14/20) Cases/today/Infection Rate: 2,087,629/18,901/0.91% - Mortality/Today/Rate: 118,430/347/5.67% 
Day: 146 (6/15/20) Cases/today/Infection Rate: 2,108,628/20,999/1.01% - Mortality/Today/Rate: 118,831/401/5.64% 
Day: 147 (6/16/20) Cases/today/Infection Rate: 2,133,177/24,549/1.16% - Mortality/Today/Rate: 119,616/785/5.61% 
Day: 148 (6/17/20) Cases/today/Infection Rate: 2,160,227/27,050/1.27% - Mortality/Today/Rate: 120,365/749/5.57% 
Day: 149 (6/18/20) Cases/today/Infection Rate: 2,188,454/28,227/1.31% - Mortality/Today/Rate: 121,066/701/5.53% 
Day: 150 (6/19/20) Cases/today/Infection Rate: 2,219,508/31,054/1.42% - Mortality/Today/Rate: 121,700/634/5.48% 
Day: 151 (6/20/20) Cases/today/Infection Rate: 2,251,334/31,826/1.43% - Mortality/Today/Rate: 122,265/565/5.43% 
Day: 152 (6/21/20) Cases/today/Infection Rate: 2,277,170/25,836/1.15% - Mortality/Today/Rate: 122,582/317/5.38% 
Day: 153 (6/22/20) Cases/today/Infection Rate: 2,306,971/29,801/1.31% - Mortality/Today/Rate: 122,961/379/5.33% 
Day: 154 (6/23/20) Cases/today/Infection Rate: 2,345,700/38,729/1.68% - Mortality/Today/Rate: 123,701/740/5.27% 
Day: 155 (6/24/20) Cases/today/Infection Rate: 2,381,951/36,251/1.55% - Mortality/Today/Rate: 124,457/756/5.23% 
Day: 156 (6/25/20) Cases/today/Infection Rate: 2,421,250/39,299/1.65% - Mortality/Today/Rate: 125,006/549/5.16% 
Day: 157 (6/26/20) Cases/today/Infection Rate: 2,470,296/49,046/2.03% - Mortality/Today/Rate: 125,636/630/5.09% 
Day: 158 (6/27/20) Cases/today/Infection Rate: 2,511,050/40,754/1.65% - Mortality/Today/Rate: 126,133/497/5.02% 
Day: 159 (6/28/20) Cases/today/Infection Rate: 2,553,975/42,925/1.71% - Mortality/Today/Rate: 126,457/324/4.95% 
Day: 160 (6/29/20) Cases/today/Infection Rate: 2,595,272/41,297/1.62% - Mortality/Today/Rate: 126,828/371/4.89% 
Day: 161 (6/30/20) Cases/today/Infection Rate: 2,645,097/49,825/1.92% - Mortality/Today/Rate: 127,382/554/4.82% 
Day: 162 (7/1/20) Cases/today/Infection Rate: 2,694,220/49,123/1.86% - Mortality/Today/Rate: 128,083/701/4.75% 
Day: 163 (7/2/20) Cases/today/Infection Rate: 2,749,163/54,943/2.04% - Mortality/Today/Rate: 128,822/739/4.69% 
Day: 164 (7/3/20) Cases/today/Infection Rate: 2,800,668/51,505/1.87% - Mortality/Today/Rate: 129,499/677/4.62% 
Day: 165 (7/4/20) Cases/today/Infection Rate: 2,846,614/45,946/1.64% - Mortality/Today/Rate: 129,801/302/4.56% 
Day: 166 (7/5/20) Cases/today/Infection Rate: 2,900,342/53,728/1.89% - Mortality/Today/Rate: 130,123/322/4.49% 
Day: 167 (7/6/20) Cases/today/Infection Rate: 2,943,508/43,166/1.49% - Mortality/Today/Rate: 130,493/370/4.43% 
Day: 168 (7/7/20) Cases/today/Infection Rate: 3,000,739/57,231/1.94% - Mortality/Today/Rate: 131,636/1,143/4.39% 
Day: 169 (7/8/20) Cases/today/Infection Rate: 3,061,045/60,306/2.01% - Mortality/Today/Rate: 132,478/842/4.33% 
Day: 170 (7/9/20) Cases/today/Infection Rate: 3,120,701/59,656/1.95% - Mortality/Today/Rate: 133,514/1,036/4.28% 
Day: 171 (7/10/20) Cases/today/Infection Rate: 3,189,561/68,860/2.21% - Mortality/Today/Rate: 134,332/818/4.21% 
Day: 172 (7/11/20) Cases/today/Infection Rate: 3,250,000/60,439/1.89% - Mortality/Today/Rate: 135,083/751/4.16% 
Day: 173 (7/12/20) Cases/today/Infection Rate: 3,310,132/60,132/1.85% - Mortality/Today/Rate: 135,557/474/4.10% 
Day: 174 (7/13/20) Cases/today/Infection Rate: 3,369,496/59,364/1.79% - Mortality/Today/Rate: 135,992/435/4.04% 
Day: 175 (7/14/20) Cases/today/Infection Rate: 3,435,158/65,662/1.95% - Mortality/Today/Rate: 136,890/898/3.98% 
Day: 176 (7/15/20) Cases/today/Infection Rate: 3,501,184/66,026/1.92% - Mortality/Today/Rate: 137,854/964/3.94% 
Day: 177 (7/16/20) Cases/today/Infection Rate: 3,571,998/70,814/2.02% - Mortality/Today/Rate: 138,821/967/3.89% 
Day: 178 (7/17/20) Cases/today/Infection Rate: 3,638,470/66,472/1.86% - Mortality/Today/Rate: 139,741/920/3.84% 
Day: 179 (7/18/20) Cases/today/Infection Rate: 3,702,792/64,322/1.77% - Mortality/Today/Rate: 140,628/887/3.80% 
Day: 180 (7/19/20) Cases/today/Infection Rate: 3,761,724/58,932/1.59% - Mortality/Today/Rate: 141,107/479/3.75% 
Day: 181 (7/20/20) Cases/today/Infection Rate: 3,822,387/60,663/1.61% - Mortality/Today/Rate: 141,639/532/3.71% 
Day: 182 (7/21/20) Cases/today/Infection Rate: 3,890,581/68,194/1.78% - Mortality/Today/Rate: 142,727/1,088/3.67% 
Day: 183 (7/22/20) Cases/today/Infection Rate: 3,958,126/67,545/1.74% - Mortality/Today/Rate: 143,953/1,226/3.64% 
Day: 184 (7/23/20) Cases/today/Infection Rate: 4,026,012/67,886/1.72% - Mortality/Today/Rate: 145,043/1,090/3.60% 
Day: 185 (7/24/20) Cases/today/Infection Rate: 4,101,159/75,147/1.87% - Mortality/Today/Rate: 146,135/1,092/3.56% 
Day: 186 (7/25/20) Cases/today/Infection Rate: 4,165,359/64,200/1.57% - Mortality/Today/Rate: 147,106/971/3.53% 
Day: 187 (7/26/20) Cases/today/Infection Rate: 4,221,198/55,839/1.34% - Mortality/Today/Rate: 147,643/537/3.50% 
Day: 188 (7/27/20) Cases/today/Infection Rate: 4,280,922/59,724/1.41% - Mortality/Today/Rate: 148,753/1,110/3.47% 
Day: 189 (7/28/20) Cases/today/Infection Rate: 4,345,753/64,831/1.51% - Mortality/Today/Rate: 149,970/1,217/3.45% 
Day: 190 (7/29/20) Cases/today/Infection Rate: 4,409,882/64,129/1.48% - Mortality/Today/Rate: 151,414/1,444/3.43% 
Day: 191 (7/30/20) Cases/today/Infection Rate: 4,479,123/69,241/1.57% - Mortality/Today/Rate: 152,709/1,295/3.41% 
Day: 192 (7/31/20) Cases/today/Infection Rate: 4,543,699/64,576/1.44% - Mortality/Today/Rate: 153,894/1,185/3.39% 
Day: 193 (8/1/20) Cases/today/Infection Rate: 4,601,277/57,578/1.27% - Mortality/Today/Rate: 155,013/1,119/3.37% 
Day: 194 (8/2/20) Cases/today/Infection Rate: 4,648,386/47,109/1.02% - Mortality/Today/Rate: 155,475/462/3.34% 
Day: 195 (8/3/20) Cases/today/Infection Rate: 4,690,070/41,684/0.90% - Mortality/Today/Rate: 156,037/562/3.33% 
Day: 196 (8/4/20) Cases/today/Infection Rate: 4,751,727/61,657/1.31% - Mortality/Today/Rate: 157,295/1,258/3.31% 
Day: 197 (8/5/20) Cases/today/Infection Rate: 4,806,075/54,348/1.14% - Mortality/Today/Rate: 158,708/1,413/3.30% 
Day: 198 (8/6/20) Cases/today/Infection Rate: 4,866,254/60,179/1.25% - Mortality/Today/Rate: 159,891/1,183/3.29% 
Day: 199 (8/7/20) Cases/today/Infection Rate: 4,926,841/60,587/1.25% - Mortality/Today/Rate: 161,186/1,295/3.27% 
Day: 200 (8/8/20) Cases/today/Infection Rate: 4,990,774/63,933/1.30% - Mortality/Today/Rate: 162,272/1,086/3.25% 
Day: 201 (8/9/20) Cases/today/Infection Rate: 5,045,041/54,267/1.09% - Mortality/Today/Rate: 162,845/573/3.23% 
Day: 202 (8/10/20) Cases/today/Infection Rate: 5,096,658/51,617/1.02% - Mortality/Today/Rate: 163,367/522/3.21% 
Day: 203 (8/11/20) Cases/today/Infection Rate: 5,153,612/56,954/1.12% - Mortality/Today/Rate: 164,452/1,085/3.19% 
Day: 204 (8/12/20) Cases/today/Infection Rate: 5,208,856/55,244/1.07% - Mortality/Today/Rate: 165,963/1,511/3.19% 
Day: 205 (8/13/20) Cases/today/Infection Rate: 5,260,512/51,656/0.99% - Mortality/Today/Rate: 167,003/1,040/3.17% 
Day: 206 (8/14/20) Cases/today/Infection Rate: 5,330,637/70,125/1.33% - Mortality/Today/Rate: 168,312/1,309/3.16% 
Day: 207 (8/15/20) Cases/today/Infection Rate: 5,383,031/52,394/0.98% - Mortality/Today/Rate: 169,354/1,042/3.15% 
Day: 208 (8/16/20) Cases/today/Infection Rate: 5,417,693/34,662/0.64% - Mortality/Today/Rate: 169,967/613/3.14% 
Day: 209 (8/17/20) Cases/today/Infection Rate: 5,455,542/37,849/0.70% - Mortality/Today/Rate: 170,439/472/3.12% 
Day: 210 (8/18/20) Cases/today/Infection Rate: 5,500,444/44,902/0.82% - Mortality/Today/Rate: 171,669/1,230/3.12% 
Day: 211 (8/19/20) Cases/today/Infection Rate: 5,546,328/45,884/0.83% - Mortality/Today/Rate: 172,353/684/3.11% 
Day: 212 (8/20/20) Cases/today/Infection Rate: 5,591,456/45,128/0.81% - Mortality/Today/Rate: 173,453/1,100/3.10% 
Day: 213 (8/21/20) Cases/today/Infection Rate: 5,639,047/47,591/0.85% - Mortality/Today/Rate: 174,549/1,096/3.10% 
